ID,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
501,6,22,5500,28,1
502,2,34,8500,77,1
503,2,44,11000,98,0
504,0,26,6500,76,1
505,2,41,10250,98,1
506,3,21,5250,42,1
507,2,11,2750,23,0
508,2,21,5250,52,1
509,2,13,3250,32,1
510,4,4,1000,4,1
511,2,11,2750,26,0
512,2,11,2750,28,0
513,3,14,3500,35,0
514,4,16,4000,38,1
515,4,6,1500,14,0
516,3,5,1250,12,1
517,4,33,8250,98,1
518,3,10,2500,33,1
519,4,10,2500,28,1
520,2,11,2750,40,1
521,2,11,2750,41,1
522,4,13,3250,39,1
523,1,10,2500,43,1
524,4,9,2250,28,0
525,2,4,1000,11,0
526,2,5,1250,16,1
527,2,15,3750,64,0
528,5,24,6000,79,0
529,2,6,1500,22,1
530,4,5,1250,16,1
531,2,4,1000,14,1
532,4,8,2000,28,0
533,2,4,1000,14,0
534,2,6,1500,26,0
535,4,5,1250,16,1
536,2,7,1750,32,1
537,2,6,1500,26,1
538,2,8,2000,38,1
539,2,2,500,4,1
540,2,6,1500,28,1
541,2,10,2500,52,0
542,4,16,4000,70,1
543,4,2,500,4,1
544,1,14,3500,95,0
545,4,2,500,4,1
546,7,14,3500,48,0
547,2,3,750,11,0
548,2,12,3000,70,1
549,4,7,1750,32,1
550,4,4,1000,16,0
551,2,6,1500,35,1
552,4,6,1500,28,1
553,2,3,750,14,0
554,2,4,1000,23,0
555,4,4,1000,18,0
556,5,6,1500,28,0
557,4,6,1500,30,0
558,14,5,1250,14,0
559,3,8,2000,50,0
560,4,11,2750,64,1
561,4,9,2250,52,0
562,4,16,4000,98,1
563,7,10,2500,47,0
564,4,14,3500,86,0
565,2,9,2250,75,0
566,4,6,1500,35,0
567,4,9,2250,55,0
568,4,6,1500,35,1
569,2,6,1500,45,0
570,2,6,1500,47,0
571,4,2,500,9,0
572,2,2,500,11,1
573,2,2,500,11,0
574,2,2,500,11,1
575,4,6,1500,38,1
576,3,4,1000,29,1
577,9,9,2250,38,0
578,11,5,1250,18,0
579,2,3,750,21,0
580,2,1,250,2,0
581,2,1,250,2,1
582,2,1,250,2,0
583,2,1,250,2,0
584,2,1,250,2,0
585,2,1,250,2,0
586,2,1,250,2,1
587,2,1,250,2,0
588,2,1,250,2,0
589,2,1,250,2,0
590,2,1,250,2,0
591,11,11,2750,38,0
592,2,3,750,22,0
593,9,11,2750,49,1
594,5,11,2750,75,0
595,3,5,1250,38,0
596,3,1,250,3,1
597,4,6,1500,43,0
598,2,3,750,24,0
599,12,11,2750,39,0
600,2,2,500,14,0
601,4,6,1500,46,0
602,9,3,750,14,0
603,14,8,2000,26,0
604,4,2,500,13,0
605,4,11,2750,95,0
606,2,7,1750,77,0
607,2,7,1750,77,0
608,4,1,250,4,0
609,4,1,250,4,0
610,4,1,250,4,0
611,4,1,250,4,0
612,4,1,250,4,1
613,4,1,250,4,0
614,4,1,250,4,0
615,4,1,250,4,0
616,4,1,250,4,0
617,4,1,250,4,0
618,4,1,250,4,1
619,4,1,250,4,0
620,4,7,1750,62,0
621,4,1,250,4,0
622,4,4,1000,34,1
623,11,6,1500,28,0
624,13,3,750,14,1
625,7,5,1250,35,0
626,9,9,2250,54,0
627,11,2,500,11,0
628,2,5,1250,63,0
629,7,11,2750,89,0
630,8,9,2250,64,0
631,2,2,500,22,0
632,6,3,750,26,0
633,12,15,3750,71,0
634,13,3,750,16,0
635,11,16,4000,89,0
636,4,5,1250,58,0
637,14,7,1750,35,0
638,11,4,1000,27,0
639,7,9,2250,89,1
640,11,8,2000,52,1
641,7,5,1250,52,0
642,11,6,1500,41,0
643,10,5,1250,38,0
644,14,2,500,14,1
645,14,2,500,14,0
646,14,2,500,14,0
647,2,2,500,33,0
648,11,3,750,23,0
649,14,8,2000,46,0
650,9,1,250,9,0
651,16,5,1250,27,0
652,14,4,1000,26,0
653,4,2,500,30,0
654,14,3,750,21,0
655,16,16,4000,77,0
656,4,2,500,31,0
657,14,8,2000,50,0
658,11,3,750,26,0
659,14,7,1750,45,0
660,15,5,1250,33,0
661,16,2,500,16,0
662,16,3,750,21,0
663,11,8,2000,72,0
664,11,1,250,11,0
665,11,1,250,11,0
666,11,1,250,11,0
667,11,1,250,11,1
668,11,1,250,11,0
669,2,3,750,75,1
670,2,3,750,77,0
671,16,4,1000,28,0
672,16,15,3750,87,0
673,16,14,3500,83,0
674,16,10,2500,62,0
675,16,3,750,23,0
676,14,3,750,26,0
677,23,19,4750,62,0
678,11,7,1750,75,0
679,14,3,750,28,0
680,20,14,3500,69,1
681,4,2,500,46,0
682,11,2,500,25,0
683,11,3,750,37,0
684,16,4,1000,33,0
685,21,7,1750,38,0
686,13,7,1750,76,0
687,16,6,1500,50,0
688,14,3,750,33,0
689,14,1,250,14,0
690,14,1,250,14,0
691,14,1,250,14,0
692,14,1,250,14,0
693,14,1,250,14,0
694,14,1,250,14,0
695,17,7,1750,58,1
696,14,3,750,35,0
697,14,3,750,35,0
698,16,7,1750,64,0
699,21,2,500,21,0
700,16,3,750,35,0
701,16,1,250,16,0
702,16,1,250,16,0
703,16,1,250,16,0
704,16,1,250,16,0
705,16,1,250,16,0
706,14,2,500,29,0
707,11,4,1000,74,0
708,11,2,500,38,1
709,21,6,1500,48,0
710,23,2,500,23,0
711,23,6,1500,45,0
712,14,2,500,35,1
713,16,6,1500,81,0
714,16,4,1000,58,0
715,16,5,1250,71,0
716,21,2,500,26,0
717,21,3,750,35,0
718,21,3,750,35,0
719,23,8,2000,69,0
720,21,3,750,38,0
721,23,3,750,35,0
722,21,3,750,40,0
723,23,2,500,28,0
724,21,1,250,21,0
725,21,1,250,21,0
726,25,6,1500,50,0
727,21,1,250,21,0
728,21,1,250,21,0
729,23,3,750,39,0
730,21,2,500,33,0
731,14,3,750,79,0
732,23,1,250,23,1
733,23,1,250,23,0
734,23,1,250,23,0
735,23,1,250,23,0
736,23,1,250,23,0
737,23,1,250,23,0
738,23,1,250,23,0
739,23,4,1000,52,0
740,23,1,250,23,0
741,23,7,1750,88,0
742,16,3,750,86,0
743,23,2,500,38,0
744,21,2,500,52,0
745,23,3,750,62,0
746,39,1,250,39,0
747,72,1,250,72,0
